iteration,objf,mu_ke,mu_v,omega_ke,omega_v,status
56,-171.285848,-2.041940,4.699918,0.721551,0.047200,Continue
57,-171.285848,-2.026668,4.682871,0.711558,0.045784,Continue
58,-171.285848,-2.014380,4.644669,0.700966,0.044411,Continue
59,-171.285848,-2.011326,4.624628,0.718736,0.043078,Continue
60,-171.285848,-1.988237,4.620312,0.686572,0.041786,Continue
61,-171.285848,-1.989773,4.607975,0.684287,0.040532,Continue
62,-171.285848,-1.998357,4.611414,0.691712,0.039316,Continue
63,-171.285848,-1.998012,4.613459,0.675133,0.038137,Continue
64,-171.285848,-1.997150,4.616467,0.688354,0.036993,Continue
65,-171.285848,-1.992045,4.615711,0.669984,0.035883,Continue
66,-171.285848,-1.995205,4.615897,0.681346,0.034806,Continue
67,-171.285848,-1.995662,4.611144,0.682933,0.033762,Continue
68,-171.285848,-1.994695,4.610030,0.690769,0.032749,Continue
69,-171.285848,-2.004210,4.621825,0.694066,0.031767,Continue
70,-171.285848,-2.016274,4.637036,0.697979,0.033589,Continue
71,-171.285848,-2.024197,4.651679,0.699259,0.031120,Continue
72,-171.285848,-2.025886,4.657770,0.699531,0.030139,Continue
73,-171.285848,-2.013686,4.647861,0.702028,0.037186,Continue
74,-171.285848,-2.011802,4.638487,0.714540,0.039848,Continue
75,-171.285848,-2.010578,4.634030,0.723108,0.035760,Continue
76,-171.285848,-2.015733,4.634184,0.720515,0.034691,Continue
77,-171.285848,-2.018719,4.624363,0.713645,0.031453,Continue
78,-171.285848,-2.020850,4.632733,0.713255,0.035440,Continue
79,-171.285848,-2.022719,4.642771,0.716540,0.032345,Continue
80,-171.285848,-2.021631,4.645452,0.709361,0.030635,Continue
81,-171.285848,-2.011787,4.634458,0.701843,0.030763,Continue
82,-171.285848,-2.005808,4.624379,0.701860,0.032473,Continue
83,-171.285848,-1.998031,4.617678,0.694156,0.031449,Continue
84,-171.285848,-1.996958,4.619126,0.712415,0.034836,Continue
85,-171.285848,-1.997501,4.618635,0.713513,0.035276,Continue
86,-171.285848,-1.999366,4.606457,0.713308,0.037256,Continue
87,-171.285848,-1.998934,4.597685,0.708308,0.037608,Continue
88,-171.285848,-1.998252,4.597465,0.706933,0.035312,Continue
89,-171.285848,-2.010282,4.611994,0.722297,0.036551,Continue
90,-171.285848,-2.028646,4.641258,0.744412,0.036138,Continue
91,-171.285848,-2.051900,4.674292,0.779737,0.039258,Continue
92,-171.285848,-2.080726,4.700949,0.808470,0.041327,Continue
93,-171.285848,-2.087683,4.725433,0.793691,0.040132,Continue
94,-171.285848,-2.083740,4.713397,0.799459,0.047371,Continue
95,-171.285848,-2.052269,4.685572,0.746726,0.051322,Continue
96,-171.285848,-2.031228,4.665449,0.752437,0.049153,Continue
97,-171.285848,-2.009867,4.627098,0.737384,0.046933,Continue
98,-171.285848,-1.989066,4.599691,0.701836,0.046097,Continue
99,-171.285848,-1.971337,4.570463,0.699183,0.044509,Continue
100,-171.285848,-1.969720,4.557312,0.694607,0.049200,Continue
101,-171.285848,-1.983034,4.559046,0.723782,0.051460,Continue
102,-171.285848,-2.014129,4.588484,0.781396,0.047493,Continue
103,-171.285848,-2.041293,4.639499,0.774289,0.051872,Continue
104,-171.285848,-2.058109,4.671288,0.773436,0.052798,Continue
105,-171.285848,-2.060330,4.687706,0.760298,0.048619,Continue
106,-171.285848,-2.051588,4.696445,0.735492,0.050570,Continue
107,-171.285848,-2.041413,4.688010,0.738958,0.049920,Continue
108,-171.285848,-2.022366,4.666032,0.719190,0.049428,Continue
109,-171.285848,-2.017311,4.640182,0.768012,0.048500,Continue
110,-171.285848,-2.008410,4.623378,0.752203,0.049125,Continue
111,-171.285848,-2.006624,4.613174,0.758228,0.048077,Continue
112,-171.285848,-2.010160,4.611264,0.758007,0.046315,Continue
113,-171.285848,-2.014244,4.628448,0.735690,0.039280,Continue
114,-171.285848,-2.023918,4.641145,0.744535,0.034788,Continue
115,-171.285848,-2.041815,4.655872,0.770473,0.035914,Continue
116,-171.285848,-2.054491,4.674073,0.775240,0.037438,Continue
117,-171.285848,-2.056908,4.677311,0.766166,0.040599,Continue
118,-171.285848,-2.043922,4.670302,0.724217,0.039360,Continue
119,-171.285848,-2.037447,4.656665,0.751247,0.040291,Continue
120,-171.285848,-2.037001,4.659607,0.761664,0.043192,Continue
121,-171.285848,-2.037693,4.657114,0.771526,0.038384,Continue
122,-171.285848,-2.025426,4.652195,0.716946,0.039965,Continue
123,-171.285848,-2.021089,4.639113,0.730229,0.036199,Continue
124,-171.285848,-2.008969,4.625589,0.707699,0.036113,Continue
125,-171.285848,-1.993621,4.612028,0.690497,0.032631,Continue
126,-171.285848,-1.989518,4.610829,0.687017,0.029974,Continue
127,-171.285848,-2.001655,4.610952,0.702535,0.029715,Continue
128,-171.285848,-2.025644,4.614598,0.721021,0.031293,Continue
129,-171.285848,-2.032338,4.640931,0.698347,0.031798,Continue
130,-171.285848,-2.032689,4.663776,0.699487,0.030740,Continue
131,-171.285848,-2.028525,4.663205,0.699353,0.029143,Continue
132,-171.285848,-2.018847,4.657373,0.687211,0.028712,Continue
133,-171.285848,-1.998540,4.627254,0.678254,0.030882,Continue
134,-171.285848,-1.989527,4.605263,0.692506,0.030815,Continue
135,-171.285848,-1.990159,4.592708,0.700366,0.033085,Continue
136,-171.285848,-2.001321,4.596484,0.705587,0.032589,Continue
137,-171.285848,-2.008255,4.614941,0.708173,0.031892,Continue
138,-171.285848,-2.001481,4.627985,0.690628,0.026786,Continue
139,-171.285848,-2.011331,4.634655,0.698462,0.031519,Continue
140,-171.285848,-2.017202,4.638612,0.686690,0.030454,Continue
141,-171.285848,-2.011445,4.638459,0.680305,0.030576,Continue
142,-171.285848,-2.004132,4.633996,0.678342,0.036103,Continue
143,-171.285848,-2.011453,4.627600,0.699176,0.031940,Continue
144,-171.285848,-2.031312,4.638228,0.731351,0.034539,Continue
145,-171.285848,-2.039021,4.657139,0.717963,0.035039,Continue
146,-171.285848,-2.027927,4.665153,0.686537,0.034907,Continue
147,-171.285848,-2.015295,4.644838,0.685900,0.036597,Continue
148,-171.285848,-2.011049,4.624399,0.708215,0.037669,Continue
149,-171.285848,-1.996265,4.616247,0.689358,0.035514,Continue
150,-171.285848,-1.983275,4.600625,0.683079,0.036918,Continue
151,-171.285848,-1.969416,4.579072,0.680436,0.040072,Continue
152,-171.285848,-1.968323,4.561544,0.694685,0.041644,Continue
153,-171.285848,-1.967743,4.561233,0.688414,0.034205,Continue
154,-171.285848,-1.975545,4.582367,0.690618,0.032995,Continue
155,-171.285848,-1.995747,4.614982,0.702395,0.034109,Continue
156,-171.285848,-2.019476,4.637646,0.713340,0.034546,Continue
157,-171.285848,-2.041304,4.661680,0.698272,0.033110,Continue
158,-171.285848,-2.051122,4.683106,0.701534,0.034460,Continue
159,-171.285848,-2.056527,4.692153,0.718804,0.033735,Continue
160,-171.285848,-2.058447,4.682992,0.715598,0.035603,Continue
161,-171.285848,-2.045513,4.676276,0.704572,0.033825,Continue
162,-171.285848,-2.033101,4.663757,0.709636,0.037037,Continue
163,-171.285848,-2.033421,4.655598,0.730748,0.037892,Continue
164,-171.285848,-2.030756,4.644985,0.723468,0.036145,Continue
165,-171.285848,-2.024804,4.644360,0.732012,0.035159,Continue
166,-171.285848,-2.032658,4.646914,0.755434,0.035017,Continue
167,-171.285848,-2.031413,4.650643,0.741409,0.034898,Continue
168,-171.285848,-2.026701,4.651470,0.733942,0.037617,Continue
169,-171.285848,-2.017694,4.641549,0.724528,0.036333,Continue
170,-171.285848,-2.020569,4.639942,0.739022,0.033643,Continue
171,-171.285848,-2.017438,4.635794,0.732451,0.037093,Continue
172,-171.285848,-2.023683,4.642425,0.749851,0.040156,Continue
173,-171.285848,-2.018460,4.643231,0.728057,0.040373,Continue
174,-171.285848,-2.023229,4.634825,0.742122,0.038796,Continue
175,-171.285848,-2.026426,4.642959,0.735250,0.036526,Continue
176,-171.285848,-2.031091,4.647904,0.736937,0.038388,Continue
177,-171.285848,-2.022240,4.642802,0.711793,0.039681,Continue
178,-171.285848,-2.017400,4.640392,0.717786,0.036417,Continue
179,-171.285848,-2.016092,4.634797,0.712612,0.033003,Continue
180,-171.285848,-2.011884,4.627956,0.699796,0.034526,Continue
181,-171.285848,-2.011305,4.624509,0.703891,0.035444,Continue
182,-171.285848,-2.017312,4.629307,0.710429,0.035575,Continue
183,-171.285848,-2.023676,4.641150,0.715649,0.041973,Continue
184,-171.285848,-2.023135,4.651390,0.709449,0.044308,Continue
185,-171.285848,-2.019388,4.657022,0.703689,0.044522,Continue
186,-171.285848,-2.031204,4.647930,0.755291,0.048856,Continue
187,-171.285848,-2.043847,4.653944,0.759862,0.049850,Continue
188,-171.285848,-2.049441,4.666860,0.759871,0.049807,Continue
189,-171.285848,-2.057470,4.675923,0.768185,0.046909,Continue
190,-171.285848,-2.060705,4.677479,0.764926,0.048561,Continue
191,-171.285848,-2.049700,4.674935,0.746034,0.045728,Continue
192,-171.285848,-2.039113,4.667539,0.744428,0.048225,Continue
193,-171.285848,-2.035196,4.653702,0.760117,0.050664,Continue
194,-171.285848,-2.026847,4.642717,0.750741,0.052143,Continue
195,-171.285848,-2.021348,4.633026,0.749006,0.050589,Continue
196,-171.285848,-2.017262,4.628071,0.749311,0.049209,Continue
197,-171.285848,-2.019567,4.634617,0.752998,0.047615,Continue
198,-171.285848,-2.016665,4.632697,0.727893,0.043799,Continue
199,-171.285848,-2.009046,4.629341,0.717867,0.044637,Continue
200,-171.285848,-2.004567,4.617418,0.721577,0.044904,Continue
201,-171.285848,-2.005750,4.612443,0.724024,0.043025,Continue
202,-171.285848,-2.018262,4.622248,0.745294,0.044465,Continue
203,-171.285848,-2.034576,4.642487,0.756509,0.041208,Continue
204,-171.285848,-2.039904,4.666444,0.724871,0.042816,Continue
205,-171.285848,-2.063159,4.674097,0.797747,0.041487,Continue
206,-171.285848,-2.060592,4.692619,0.769692,0.051054,Continue
207,-171.285848,-2.066936,4.690598,0.807869,0.045658,Continue
208,-171.285848,-2.065664,4.682710,0.792095,0.043011,Continue
209,-171.285848,-2.045981,4.676321,0.736641,0.041404,Continue
210,-171.285848,-2.028663,4.658943,0.744457,0.040414,Continue
211,-171.285848,-2.003285,4.627840,0.715527,0.037898,Continue
212,-171.285848,-1.986683,4.601743,0.710785,0.036788,Continue
213,-171.285848,-1.974310,4.569782,0.704939,0.035474,Continue
214,-171.285848,-1.964925,4.548077,0.687797,0.032569,Continue
215,-171.285848,-1.966519,4.540288,0.700563,0.033923,Continue
216,-171.285848,-1.965063,4.549259,0.693718,0.038174,Continue
217,-171.285848,-1.977080,4.565625,0.706315,0.038567,Continue
218,-171.285848,-2.002569,4.610283,0.720430,0.035493,Continue
219,-171.285848,-2.034442,4.657354,0.742470,0.035433,Continue
220,-171.285848,-2.063537,4.687460,0.758784,0.039984,Continue
221,-171.285848,-2.072611,4.705485,0.738804,0.042207,Continue
222,-171.285848,-2.065595,4.710253,0.737450,0.042979,Continue
223,-171.285848,-2.070220,4.702082,0.790775,0.045835,Continue
224,-171.285848,-2.060388,4.686186,0.764642,0.048110,Continue
225,-171.285848,-2.051465,4.672859,0.795287,0.046844,Continue
226,-171.285848,-2.041546,4.661510,0.794406,0.048673,Continue
227,-171.285848,-2.027420,4.656735,0.765467,0.049990,Continue
228,-171.285848,-2.019338,4.634519,0.801581,0.052139,Continue
229,-171.285848,-2.017917,4.609563,0.802248,0.051379,Continue
230,-171.285848,-2.011404,4.600462,0.789792,0.049696,Continue
231,-171.285848,-2.006928,4.599050,0.770536,0.046294,Continue
232,-171.285848,-2.002120,4.594989,0.750076,0.042372,Continue
233,-171.285848,-2.007145,4.601472,0.745499,0.039955,Continue
234,-171.285848,-2.008235,4.611001,0.730924,0.037628,Continue
235,-171.285848,-2.004618,4.608068,0.726016,0.038523,Continue
236,-171.285848,-1.999959,4.598024,0.725354,0.038200,Continue
237,-171.285848,-1.990759,4.592074,0.704422,0.036564,Continue
238,-171.285848,-1.982116,4.595690,0.693368,0.036412,Continue
239,-171.285848,-1.983190,4.583527,0.695923,0.042411,Continue
240,-171.285848,-1.983732,4.593550,0.697536,0.040591,Continue
241,-171.285848,-1.984044,4.610819,0.686201,0.036650,Continue
242,-171.285848,-2.012048,4.624544,0.738210,0.038506,Continue
243,-171.285848,-2.045049,4.643572,0.772086,0.040150,Continue
244,-171.285848,-2.060466,4.681511,0.771315,0.045116,Continue
245,-171.285848,-2.058410,4.692139,0.753394,0.044366,Continue
246,-171.285848,-2.050375,4.685865,0.749203,0.045777,Continue
247,-171.285848,-2.044049,4.668576,0.759894,0.049842,Continue
248,-171.285848,-2.042166,4.657460,0.761649,0.047561,Continue
249,-171.285848,-2.034132,4.646707,0.740094,0.046657,Continue
250,-171.285848,-2.024321,4.635930,0.737808,0.042386,Continue
251,-171.285848,-2.012377,4.635156,0.717357,0.040679,Continue
252,-171.285848,-2.005015,4.626589,0.717849,0.040156,Continue
253,-171.285848,-2.001603,4.612450,0.724120,0.043991,Continue
254,-171.285848,-2.010036,4.602907,0.758619,0.048315,Continue
255,-171.285848,-2.013323,4.615222,0.732098,0.044584,Continue
256,-171.285848,-2.019816,4.626410,0.751217,0.047719,Continue
257,-171.285848,-2.018141,4.627160,0.734841,0.044722,Continue
258,-171.285848,-2.016861,4.632973,0.720946,0.039123,Continue
259,-171.285848,-2.009975,4.631151,0.711676,0.041725,Continue
260,-171.285848,-2.026604,4.636615,0.752326,0.038945,Continue
261,-171.285848,-2.036421,4.650676,0.751563,0.041959,Continue
262,-171.285848,-2.032050,4.658921,0.728835,0.047060,Continue
263,-171.285848,-2.026032,4.653253,0.731247,0.047931,Continue
264,-171.285848,-2.015389,4.632971,0.714191,0.047382,Continue
265,-171.285848,-2.008687,4.624051,0.718233,0.045329,Continue
266,-171.285848,-2.000405,4.626947,0.715963,0.050235,Continue
267,-171.285848,-2.008253,4.627205,0.742256,0.050277,Continue
268,-171.285848,-2.020108,4.630926,0.736460,0.048557,Continue
269,-171.285848,-2.026331,4.638006,0.721606,0.045845,Continue
270,-171.285848,-2.030550,4.651639,0.714429,0.042275,Continue
271,-171.285848,-2.047285,4.669811,0.742449,0.050025,Continue
272,-171.285848,-2.049530,4.668934,0.737781,0.047357,Continue
273,-171.285848,-2.055162,4.680698,0.745408,0.045094,Continue
274,-171.285848,-2.042542,4.675711,0.728547,0.044028,Continue
275,-171.285848,-2.035054,4.657803,0.739021,0.048838,Continue
276,-171.285848,-2.029294,4.636383,0.739572,0.040242,Continue
277,-171.285848,-2.015178,4.637529,0.717200,0.044007,Continue
278,-171.285848,-2.004988,4.625989,0.718319,0.044707,Continue
279,-171.285848,-1.984616,4.602120,0.699862,0.046431,Continue
280,-171.285848,-1.972371,4.576791,0.707451,0.042280,Continue
281,-171.285848,-1.972818,4.566353,0.721154,0.046916,Continue
282,-171.285848,-1.993015,4.585833,0.716293,0.044605,Continue
283,-171.285848,-2.018366,4.614585,0.728407,0.044208,Continue
284,-171.285848,-2.040242,4.648664,0.740755,0.042994,Continue
285,-171.285848,-2.054146,4.673003,0.745955,0.041723,Continue
286,-171.285848,-2.063845,4.697853,0.758237,0.039862,Continue
287,-171.285848,-2.059781,4.690792,0.730087,0.036537,Continue
288,-171.285848,-2.047737,4.676187,0.716668,0.041435,Continue
289,-171.285848,-2.018938,4.655937,0.696528,0.043402,Continue
290,-171.285848,-1.995490,4.625193,0.689216,0.047236,Continue
291,-171.285848,-1.973438,4.604223,0.665515,0.041383,Continue
292,-171.285848,-1.966215,4.580501,0.668604,0.045500,Continue
293,-171.285848,-1.965853,4.564976,0.668900,0.048706,Continue
294,-171.285848,-1.961005,4.557612,0.648796,0.046889,Continue
295,-171.285848,-1.981340,4.581274,0.694067,0.046696,Continue
296,-171.285848,-2.004828,4.635700,0.681507,0.042561,Continue
297,-171.285848,-2.027988,4.669053,0.697466,0.041436,Continue
298,-171.285848,-2.043423,4.691638,0.681340,0.040654,Continue
299,-171.285848,-2.052892,4.699696,0.693697,0.042821,Continue
300,-171.285848,-2.049429,4.697472,0.673424,0.045102,Continue
301,-171.285848,-2.032894,4.685830,0.667730,0.045682,Stop(Converged)
302,-171.285848,-2.026048,4.671299,0.670666,0.046005,Stop(Converged)
303,-171.285848,-2.021787,4.662131,0.670566,0.045628,Stop(Converged)
304,-171.285848,-2.017708,4.655644,0.666729,0.044216,Stop(Converged)
305,-171.285848,-2.015668,4.652954,0.670527,0.043254,Stop(Converged)
306,-171.285848,-2.013568,4.649439,0.673415,0.042248,Stop(Converged)
307,-171.285848,-2.011611,4.645886,0.673326,0.041704,Stop(Converged)
308,-171.285848,-2.009549,4.642999,0.673176,0.041707,Stop(Converged)
309,-171.285848,-2.007939,4.640782,0.673567,0.041718,Stop(Converged)
310,-171.285848,-2.007459,4.638807,0.676322,0.041967,Stop(Converged)
311,-171.285848,-2.007729,4.638114,0.679824,0.042059,Stop(Converged)
312,-171.285848,-2.007293,4.637416,0.681148,0.042138,Stop(Converged)
313,-171.285848,-2.007076,4.636967,0.683060,0.042293,Stop(Converged)
314,-171.285848,-2.007410,4.636722,0.686658,0.042336,Stop(Converged)
315,-171.285848,-2.008461,4.636894,0.690146,0.042372,Stop(Converged)
